y,x
8,74
8,75
9,75
10,75
10,76
11,76
12,76
12,77
13,77
14,77
14,78
15,78
16,78
17,78
17,79
18,79
19,79
19,80
20,80
21,80
22,80
23,80
23,81
24,81
25,81
26,81
27,81
28,81
29,81
30,81
31,81
32,81
33,81
24,80
25,80
26,80
27,80
28,80
29,80
30,80
31,80
32,80
33,80
34,80
35,80
35,79
36,79
37,79
38,79
39,79
40,79
41,79
42,79
43,79
44,79
44,78
45,78
46,78
47,78
48,78
49,78
50,78
51,78
52,78
53,78
54,78
55,78
56,78
57,78
58,78
59,78
60,78
61,78
62,78
63,78
64,78
65,78
66,78
67,78
68,78
68,79
69,79
69,80
70,80
71,80
71,81
72,81
73,81
73,82
74,82
74,83
75,83
76,83
76,84
77,84
78,84
78,85
79,85
80,85
80,86
81,86
82,86
82,87
83,87
84,87
84,88
85,88
86,88
86,89
86,90
86,91
85,91
85,92
85,93
84,93
84,94
83,94
82,94
81,94
80,94
79,94
78,94
78,93
78,92
78,91
78,90
78,89
77,89
77,88
76,88
75,88
74,88
73,88
72,88
71,88
70,88
69,88
68,88
67,88
66,88
65,88
64,88
63,88
62,88
61,88
60,88
59,88
58,88
57,88
57,89
56,89
55,89
54,89
53,89
52,89
51,89
51,90
50,90
49,90
48,90
47,90
47,91
46,91
45,91
44,91
43,91
43,92
42,92
41,92
41,93
40,93
39,93
39,94
38,94
37,94
37,95
36,95
35,95
35,96
34,96
34,97
33,97
32,97
32,98
31,98
31,99
30,99
30,100
29,100
29,101
29,102
28,102
28,103
27,103
27,104
27,105
26,105
26,106
26,107
25,107
25,108
25,109
24,109
24,110
24,111
25,111
26,111
27,111
28,111
29,111
30,111
31,111
32,111
33,111
34,111
35,111
36,111
37,111
38,111
39,111
40,111
41,111
42,111
43,111
44,111
45,111
46,111
47,111
48,111
49,111
50,111
51,111
52,111
53,111
54,111
55,111
56,111
57,111
58,111
59,111
60,111
61,111
62,111
63,111
64,111
65,111
66,111
67,111
68,111
69,111
70,111
71,111
72,111
73,111
74,111
75,111
76,111
77,111
78,111
79,111
80,111
81,111
82,111
83,111
84,111
85,111
86,111
87,111
88,111
89,111
90,111
91,111
92,111
93,111
94,111
95,111
96,111
97,111
98,111
99,111
100,111
101,111
102,111
103,111
104,111
105,111
106,111
107,111
108,111
109,111
25,110
26,110
27,110
28,110
29,110
30,110
31,110
32,110
33,110
34,110
35,110
36,110
37,110
38,110
39,110
40,110
41,110
42,110
43,110
44,110
45,110
46,110
47,110
48,110
49,110
50,110
51,110
52,110
53,110
54,110
55,110
56,110
57,110
58,110
59,110
60,110
61,110
62,110
63,110
64,110
65,110
66,110
67,110
68,110
69,110
70,110
71,110
72,110
73,110
74,110
75,110
76,110
77,110
78,110
79,110
80,110
81,110
82,110
83,110
84,110
85,110
86,110
87,110
88,110
89,110
90,110
91,110
92,110
93,110
94,110
95,110
96,110
97,110
98,110
99,110
100,110
101,110
102,110
103,110
104,110
105,110
106,110
107,110
108,110
108,109
108,108
108,107
108,106
108,105
108,104
108,103
108,102
108,101
108,100
108,99
108,98
108,97
108,96
108,95
108,94
108,93
108,92
108,91
109,91
110,91
110,90
111,90
112,90
113,90
114,90
114,89
115,89
116,89
116,88
117,88
118,88
118,87
119,87
120,87
120,86
121,86
122,86
122,85
123,85
123,84
124,84
124,83
125,83
125,82
126,82
126,81
127,81
127,80
128,80
129,80
129,79
130,79
130,78
131,78
132,78
132,77
133,77
134,77
134,76
135,76
136,76
137,76
138,76
135,77
136,77
133,78
131,79
128,81
127,82
126,83
125,84
121,87
119,88
114,83
113,83
112,83
111,83
110,83
109,83
108,83
108,82
108,81
108,80
108,79
108,78
109,78
110,78
111,78
112,78
113,78
114,78
115,78
116,78
117,78
117,79
118,79
119,79
120,79
118,78
119,78
120,78
121,78
109,79
109,80
109,81
109,82
108,84
109,84
110,84
111,84
112,82
113,82
114,82
115,82
115,81
116,81
116,80
117,80
118,80
117,81
116,82
117,89
115,90
111,91
112,91
109,92
109,93
109,94
109,95
109,96
109,97
109,98
109,99
109,100
109,101
109,102
109,103
109,104
109,105
109,106
109,107
109,108
109,109
109,110
26,109
26,108
27,106
28,104
30,101
31,100
32,99
33,98
36,96
38,95
40,100
40,101
39,101
39,102
38,102
37,102
37,103
36,103
36,104
37,104
38,104
39,104
40,104
41,104
42,104
43,104
44,104
45,104
46,104
47,104
48,104
49,104
50,104
51,104
52,104
53,104
54,104
55,104
56,104
57,104
58,104
59,104
60,104
61,104
62,104
63,104
64,104
65,104
66,104
67,104
68,104
69,104
70,104
71,104
72,104
73,104
74,104
75,104
76,104
77,104
78,104
38,103
39,103
40,103
41,103
42,103
43,103
44,103
45,103
46,103
47,103
48,103
49,103
50,103
51,103
52,103
53,103
54,103
55,103
56,103
57,103
58,103
59,103
60,103
61,103
62,103
63,103
64,103
65,103
66,103
67,103
68,103
69,103
70,103
71,103
72,103
73,103
74,103
75,103
76,103
77,103
78,103
40,102
41,101
41,100
42,100
42,99
43,99
44,99
45,99
45,98
46,98
47,98
48,98
48,97
49,97
50,97
51,97
52,97
52,96
53,96
54,96
55,96
56,96
57,96
58,96
58,95
59,95
60,95
61,95
62,95
63,95
64,95
65,95
66,95
67,95
68,95
69,95
70,95
71,95
71,96
72,96
72,97
73,97
73,98
73,99
74,99
74,100
75,100
76,100
76,101
77,101
77,102
78,102
78,101
77,100
75,99
74,98
72,95
59,96
60,96
61,96
62,96
63,96
64,96
65,96
66,96
67,96
53,97
54,97
55,97
49,98
50,98
46,99
43,100
40,94
42,93
44,92
45,92
48,91
49,91
52,90
53,90
54,90
55,90
58,89
59,89
60,89
61,89
62,89
63,89
